Time;CPU_millicores;Memory_MiB
2022-08-09 06:27:47.273748810;;
2022-08-09 06:28:28.668836446;617;81
2022-08-09 06:29:09.895935070;356;65
2022-08-09 06:29:50.868078132;1;65
2022-08-09 06:30:32.490924453;1;60
2022-08-09 06:31:13.800611782;1;60
2022-08-09 06:31:55.072483290;2;60
2022-08-09 06:32:37.379137168;1;60
2022-08-09 06:33:19.149563379;5;64
2022-08-09 06:34:00.952579896;10;66
2022-08-09 06:34:42.099187043;2;66
2022-08-09 06:35:24.338057892;9;67
2022-08-09 06:36:05.636271883;7;68
2022-08-09 06:36:47.693231303;10;68
2022-08-09 06:37:29.085822831;12;68
2022-08-09 06:38:10.309847471;23;72
2022-08-09 06:38:51.805918043;4;74
2022-08-09 06:39:32.974212807;9;75
2022-08-09 06:40:13.979328576;22;75
2022-08-09 06:40:55.238110092;16;75
2022-08-09 06:41:36.351241687;12;75
2022-08-09 06:42:17.479461709;11;76
2022-08-09 06:42:58.672336542;24;78
2022-08-09 06:43:39.732542555;11;78
2022-08-09 06:44:20.848638231;1;78
2022-08-09 06:45:02.238531456;8;78
2022-08-09 06:45:43.325018375;10;78
2022-08-09 06:46:24.883414422;8;78
2022-08-09 06:47:06.829916179;13;78
2022-08-09 06:47:47.979683810;17;78
2022-08-09 06:48:29.163165056;12;79
2022-08-09 06:49:10.251019273;9;79
2022-08-09 06:49:51.458291714;9;79
2022-08-09 06:50:32.609821769;0;80
2022-08-09 06:51:13.865094198;20;79
2022-08-09 06:51:55.124172414;21;79
2022-08-09 06:52:36.138846913;7;79
2022-08-09 06:53:17.574305445;1;79
2022-08-09 06:53:58.665950910;1;79
2022-08-09 06:54:39.895004795;2;80
2022-08-09 06:55:21.207816030;2;80
2022-08-09 06:56:02.288170328;3;79
2022-08-09 06:56:43.686236486;2;79
2022-08-09 06:57:27.292885130;2;79
2022-08-09 06:58:09.596568142;3;78
2022-08-09 06:58:51.074955336;1;79
2022-08-09 06:59:32.368807210;2;79
2022-08-09 07:00:13.579949645;2;79
2022-08-09 07:00:54.860056012;1;79
2022-08-09 07:01:36.061465518;2;79
2022-08-09 07:02:17.304994681;3;79
2022-08-09 07:02:58.485791559;1;79
2022-08-09 07:03:39.688907105;1;79
2022-08-09 07:04:21.164462351;2;78
2022-08-09 07:05:02.300234976;1;78
2022-08-09 07:05:43.631499585;2;78
2022-08-09 07:06:25.029549390;0;81
2022-08-09 07:07:06.178108189;3;81
2022-08-09 07:07:48.559097175;4;81
2022-08-09 07:08:29.928388540;5;81
2022-08-09 07:09:10.947112415;0;81
2022-08-09 07:09:52.228401789;0;81
2022-08-09 07:10:33.654623599;3;81
2022-08-09 07:11:14.963644433;7;82
2022-08-09 07:11:56.130056213;2;82
2022-08-09 07:12:37.407202424;6;82
2022-08-09 07:13:18.639690075;2;82
2022-08-09 07:13:59.997464261;3;82
2022-08-09 07:14:41.278490929;0;82
2022-08-09 07:15:22.589417197;1;82
2022-08-09 07:16:03.987209055;5;82
2022-08-09 07:16:45.323226101;2;82
2022-08-09 07:17:26.611002542;1;82
2022-08-09 07:18:08.946861039;4;82
2022-08-09 07:18:50.349512797;3;82
2022-08-09 07:19:31.609272544;7;82
2022-08-09 07:20:12.944444208;1;82
2022-08-09 07:20:54.150399432;4;82
2022-08-09 07:21:35.599741331;3;82
2022-08-09 07:22:16.905313177;1;82
2022-08-09 07:22:58.268109305;3;82
2022-08-09 07:23:39.592229406;0;82
2022-08-09 07:24:20.866650165;6;82
2022-08-09 07:25:03.313933366;3;82
2022-08-09 07:25:44.658280219;1;82
2022-08-09 07:26:26.426451907;1;82
2022-08-09 07:27:08.485979861;3;79
2022-08-09 07:27:50.366288120;2;79
2022-08-09 07:28:33.404168254;2;79
2022-08-09 07:29:15.489876827;2;79
2022-08-09 07:29:57.556175257;1;79
2022-08-09 07:30:39.344174683;1;79
2022-08-09 07:31:20.950496963;2;79
2022-08-09 07:32:02.228912144;1;79
2022-08-09 07:32:43.533636992;1;79
2022-08-09 07:33:24.780958250;1;79
2022-08-09 07:34:05.984477714;2;79
2022-08-09 07:34:47.344529575;2;79
2022-08-09 07:35:28.604584875;2;79
2022-08-09 07:36:09.757433810;1;79
2022-08-09 07:36:51.446623970;1;79
2022-08-09 07:37:37.780424881;3;78
2022-08-09 07:38:21.266169374;22;82
2022-08-09 07:39:02.637181270;22;82
2022-08-09 07:39:43.862273515;31;83
2022-08-09 07:40:25.355700130;20;83
2022-08-09 07:41:06.503328659;10;83
2022-08-09 07:41:48.129088568;18;83
2022-08-09 07:42:31.202290203;30;84
2022-08-09 07:43:12.594076269;11;85
2022-08-09 07:43:54.008102475;22;86
2022-08-09 07:44:35.326970919;21;86
2022-08-09 07:45:16.914449989;6;86
2022-08-09 07:45:58.352671263;12;87
2022-08-09 07:46:39.779430073;12;88
2022-08-09 07:47:21.028518811;7;88
2022-08-09 07:48:02.362933952;13;89
2022-08-09 07:48:43.710548877;3;89
2022-08-09 07:49:25.069209910;13;89
2022-08-09 07:50:06.486106957;3;89
2022-08-09 07:50:47.858253433;0;89
2022-08-09 07:51:29.231190685;6;89
2022-08-09 07:52:10.505597100;21;89
2022-08-09 07:52:51.871878052;9;89
2022-08-09 07:53:33.433419292;2;89
2022-08-09 07:54:14.591794778;20;90
